iter	RMSE
198	568.7427175
199	568.5936011
200	568.4499232
201	568.3931375
202	568.3159683
203	568.2769581
204	568.1784578
205	568.0563098
206	567.9795678
207	567.9181135
208	567.8606987
209	567.8484843
210	567.7898409
211	567.6080189
212	567.3775174
213	567.2395943
214	567.1234207
215	567.0588932
216	567.0490607
217	566.9669505
218	566.9647662
219	566.9629285
220	566.8425929
221	566.7695206
222	566.690326
223	566.6120914
224	566.5671064
225	566.4720359
226	566.4116464
227	566.4097614
228	566.3702052
229	566.3026768
230	566.2886209
231	566.27035
232	566.1442021
233	566.0443997
234	565.9727634
235	565.8955655
236	565.8169738
237	565.733015
238	565.626756
239	565.4856754
240	565.3915095
241	565.3364028
242	565.2376564
243	565.1359952
244	565.0269214
245	564.9801246
246	564.8536986
247	564.7116026
248	564.6542763
249	564.4978907
250	564.439409
251	564.4011093
252	564.3436915
253	564.2877295
254	564.2071874
255	564.1810173
256	564.0932122
257	564.0796615
258	564.0609801
259	564.0594993
260	563.9681132
261	563.931793
262	563.8724018
263	563.7682832
264	563.6958753
265	563.556874
266	563.5010949
267	563.435727
268	563.3541193
269	563.2433426
270	563.1656756
271	563.0668312
272	563.0156616
273	562.9691133
274	562.9270037
275	562.861749
276	562.7038343
277	562.6520893
278	562.50466
279	562.401082
280	562.3230051
281	562.2305459
282	562.1270345
283	562.0816459
284	562.0425758
285	561.9653687
286	561.8439405
287	561.7992032
288	561.6851462
289	561.5610174
290	561.5180104
291	561.4069198
292	561.3927884
293	561.3793176
294	561.3358844
295	561.2714962
296	561.2083325
297	561.1826189
298	561.0913192
299	561.0751668
300	560.9448536
301	560.8785882
302	560.7846447
303	560.6899887
304	560.6217832
305	560.5795995
306	560.5338864
307	560.4203022
308	560.3074947
309	560.2388308
310	560.1402261
311	560.0737683
312	560.0188687
313	559.9152247
314	559.831327
315	559.7578748
316	559.6534754
317	559.5852127
318	559.4828196
319	559.4189717
320	559.373642
321	559.2757871
322	559.2606274
323	559.2198009
324	559.1373793
325	559.0354953
326	558.9685626
327	558.8387871
328	558.7493355
329	558.693198
330	558.6260792
331	558.5651973
332	558.4845892
333	558.3948312
334	558.3239081
335	558.2257655
336	558.1705611
337	558.0915847
338	558.0401536
339	557.973247
340	557.9248958
341	557.8270815
342	557.7592504
343	557.7479932
344	557.666775
345	557.5606662
346	557.5470806
347	557.4512669
348	557.3697612
349	557.3294046
350	557.2940472
351	557.2346523
352	557.2032821
353	557.1200415
354	557.0619322
355	557.0189279
356	556.9651397
357	556.8702845
358	556.7665221
359	556.6919948
360	556.6684962
361	556.667174
362	556.5632956
363	556.4760279
364	556.4171465
365	556.41555
366	556.3059627
367	556.2546266
368	556.2449409
369	556.0974981
370	556.0051181
371	555.9388378
372	555.9372842
373	555.8600761
374	555.7878784
375	555.7459624
376	555.6623925
377	555.6202714
378	555.5467227
379	555.4524506
380	555.4118914
381	555.3546137
382	555.3057752
383	555.2364091
384	555.1189783
385	555.1175667
386	555.0747599
387	555.0317886
388	554.9561768
389	554.8477898
390	554.8464728
391	554.7745652
392	554.7117975
393	554.7055538
394	554.6379578
395	554.5959344
396	554.5891503
397	554.5523604
398	554.4987582
399	554.4924886
400	554.4587187
401	554.3809793
402	554.3493568
403	554.3293806
404	554.2918424
405	554.2289732
406	554.2184047
407	554.1679547
408	554.1632783
409	554.1466086
410	554.1115695
411	554.0388845
412	553.9806859
413	553.8767389
414	553.8530786
415	553.767984
416	553.6742744
417	553.5852001
418	553.5284457
419	553.5012373
420	553.4659118
421	553.414449
422	553.3664177
423	553.2544245
424	553.2022094
425	553.1584215
426	553.0882178
427	553.0045107
428	552.9437223
429	552.8993194
430	552.8426924
431	552.8005315
432	552.680462
433	552.6311179
434	552.5485312
435	552.5101271
436	552.4017429
437	552.2664879
438	552.2656866
439	552.2279869
440	552.1557841
441	552.1187783
442	552.0963707
443	552.0764339
444	552.0346915
445	552.016977
446	551.9630439
447	551.895819
448	551.8377885
449	551.8022723
450	551.7632765
451	551.7045504
452	551.691508
453	551.6727473
454	551.6449189
455	551.6442163
456	551.544764
457	551.510457
458	551.4479521
459	551.3785299
460	551.3272763
461	551.2373115
462	551.2277169
463	551.1411357
464	551.0284021
465	550.9741968
466	550.9282452
467	550.8807522
468	550.8462849
469	550.8223676
470	550.7678484
471	550.7227748
472	550.6685851
473	550.6390498
474	550.6091537
475	550.4871019
476	550.4547137
477	550.3918197
478	550.321106
479	550.2961872
480	550.2263029
481	550.1935039
482	550.1441357
483	550.1356112
484	550.0977816
485	550.0704398
486	550.0697964
487	550.0691829
488	550.0329099
489	549.9685624
490	549.8776221
491	549.8416234
492	549.7246609
493	549.6695363
494	549.6019198
495	549.5618754
496	549.5262433
497	549.4923557
498	549.4518262
499	549.3780992
500	549.3447073
501	549.2778133
502	549.2025252
503	549.1288303
504	549.0725198
505	549.0412035
506	548.9587942
507	548.9283461
508	548.8644386
509	548.8511771
510	548.8045959
511	548.777014
512	548.6853629
513	548.6301992
514	548.622394
515	548.5870949
516	548.5499669
517	548.5135758
518	548.4685023
519	548.3901578
520	548.3392784
521	548.3167905
522	548.2932421
523	548.2476666
524	548.1747955
525	548.084672
526	548.0080083
527	547.9319743
528	547.8708653
529	547.8345808
530	547.7472099
531	547.7252146
532	547.6520808
533	547.6295643
534	547.5642098
535	547.5123809
536	547.4602956
537	547.4150689
538	547.4034961
539	547.352643
540	547.2768084
541	547.2122279
542	547.1736615
543	547.1418726
544	547.1133741
545	547.0620252
546	547.0132894
547	546.9750425
548	546.9744662
549	546.9261119
550	546.8948484
551	546.8590961
552	546.8368574
553	546.7376447
554	546.6432592
555	546.6330287
556	546.5864742
557	546.540481
558	546.5333971
559	546.4964792
560	546.4653735
561	546.3952889
562	546.2954357
563	546.2482047
564	546.2312211
565	546.1860053
566	546.152803
567	546.0859934
568	546.0524563
569	546.0266616
570	545.9405649
571	545.9076172
572	545.9070686
573	545.9062478
574	545.8697522
575	545.8223404
576	545.7785677
577	545.7313771
578	545.7308444
579	545.682379
580	545.6411044
581	545.5850093
582	545.5437773
583	545.5432842
584	545.4874405
585	545.3970888
586	545.3642699
587	545.2196249
588	545.1945344
589	545.1118968
590	545.0422103
591	544.9970332
592	544.9764549
593	544.9386517
594	544.901465
595	544.8674122
596	544.8341475
597	544.7958247
598	544.7254137
599	544.6670342
600	544.6092366
601	544.5833816
602	544.5579119
603	544.5372962
604	544.5091276
605	544.4428843
606	544.4149411
607	544.4143543
608	544.3980872
609	544.3384861
610	544.3076198
611	544.252768
612	544.2077686
613	544.160195
614	544.1222453
615	544.0904471
616	544.016161
617	543.9993622
618	543.9754987
619	543.9552096
620	543.9143083
621	543.8828392
622	543.8582268
623	543.8576797
624	543.8571602
625	543.8566665
626	543.8319761
627	543.787589
628	543.7758404
629	543.7209533
630	543.6715556
631	543.6710875
632	543.645797
633	543.5778035
634	543.5251483
635	543.479819
636	543.416336
637	543.2919695
638	543.1915768
639	543.1778152
640	543.1166385
641	543.0961878
642	543.0482704
643	542.9926705
644	542.9690708
645	542.9684602
646	542.9328514
647	542.901752
648	542.8473763
649	542.8153881
650	542.7508229
651	542.6660431
652	542.6112065
653	542.5133448
654	542.4495762
655	542.3909095
656	542.3487138
657	542.3235451
658	542.291548
659	542.2547746
660	542.1564298
661	542.1133004
662	542.0678596
663	542.0155666
664	541.9821062
665	541.9529791
666	541.9451978
667	541.8858076
668	541.8264897
669	541.8168195
670	541.7922984
671	541.7574824
672	541.7026402
673	541.6753987
674	541.6137683
675	541.6092944
676	541.4978526
677	541.4531411
678	541.4008177
679	541.3434837
680	541.2926154
681	541.1813124
682	541.1278873
683	541.0550913
684	540.9799977
685	540.9556749
686	540.906791
687	540.8958819
688	540.8362083
689	540.7629053
690	540.689886
691	540.673002
692	540.6201225
693	540.568369
694	540.5482374
695	540.4808958
696	540.4596072
697	540.4007735
698	540.4003075
699	540.3869474
700	540.3864991
701	540.3374871
702	540.2764816
703	540.2188144
704	540.201495
705	540.1860478
706	540.1528125
707	540.1524077
708	540.1066484
709	540.0102049
710	539.9570426
711	539.8749051
712	539.856213
713	539.8040638
714	539.7588323
715	539.6629289
716	539.6440857
717	539.5352597
718	539.4846701
719	539.4368464
720	539.3573648
721	539.3098762
722	539.2652801
723	539.2248075
724	539.1665175
725	539.1121729
726	539.102242
727	539.0988201
728	539.0746315
729	539.0095497
730	538.995466
731	538.9601201
732	538.9305053
733	538.9300933
734	538.9204387
735	538.9043923
736	538.8515068
737	538.7426572
738	538.7222764
739	538.6723648
740	538.5990512
741	538.5436264
742	538.4822294
743	538.4491339
744	538.4210432
745	538.375408
746	538.3493653
747	538.3228584
748	538.2604979
749	538.2088888
750	538.1646713
751	538.1163931
752	538.0560743
753	538.0119243
754	537.9399242
755	537.8720419
756	537.7748841
757	537.7590497
758	537.715247
759	537.6730548
760	537.6020956
761	537.5780433
762	537.5365548
763	537.5193517
764	537.4670369
765	537.4176091
766	537.3807516
767	537.303154
768	537.2249513
769	537.1931876
770	537.1590625
771	537.1029748
772	537.0607319
773	537.0336771
774	536.9809301
775	536.9628125
776	536.8905151
777	536.8052986
778	536.7518063
779	536.691909
780	536.6070981
781	536.5610347
782	536.5039142
783	536.4888043
784	536.4565577
785	536.3804216
786	536.3666349
787	536.2462573
788	536.2298501
789	536.1747683
790	536.1429467
791	536.1244939
792	536.1008748
793	535.9982965
794	535.9509619
795	535.9054376
796	535.8916764
797	535.8196376
798	535.8091782
799	535.7873739
800	535.763637
801	535.7317744
802	535.6589844
803	535.6211361
804	535.6154809
805	535.5663115
806	535.5417031
807	535.5036251
808	535.494351
809	535.4649302
810	535.3924597
811	535.3255819
812	535.2604851
813	535.1732372
814	535.1233334
815	535.0955975
816	535.074446
817	535.0464714
818	535.0413337
819	534.9824801
820	534.9249053
821	534.8814783
822	534.8479724
823	534.7417982
824	534.730566
825	534.6857179
826	534.6360116
827	534.6122718
828	534.5406378
829	534.5125109
830	534.4655738
831	534.3939642
832	534.3242329
833	534.2707308
834	534.2103415
835	534.0846956
836	534.0283344
837	533.9778327
838	533.9570322
839	533.9084128
840	533.8799336
841	533.8422315
842	533.7989951
843	533.7568477
844	533.7019605
845	533.6854359
846	533.6629811
847	533.6292472
848	533.5802385
849	533.5276463
850	533.4982466
851	533.4724181
852	533.440931
853	533.39991
854	533.3426977
855	533.2747536
856	533.2303321
857	533.2064796
858	533.1727429
859	533.1213965
860	533.1083588
861	533.0819309
862	533.0426274
863	533.0024308
864	532.9794092
865	532.9381779
866	532.9153325
867	532.8711979
868	532.8635451
869	532.8492563
870	532.8320958
871	532.8274396
872	532.7745468
873	532.7528507
874	532.6930829
875	532.6448492
876	532.6404484
877	532.6168851
878	532.5855027
879	532.4991394
880	532.4722137
881	532.4555965
882	532.4244896
883	532.374547
884	532.3597991
885	532.3115865
886	532.2670909
887	532.2261919
888	532.2101654
889	532.196766
890	532.1155638
891	532.0154325
892	531.971375
893	531.9440227
894	531.9334752
895	531.9309294
896	531.9040142
897	531.8488036
898	531.7704292
899	531.7491103
900	531.7313115
901	531.6780218
902	531.6585462
903	531.6156233
904	531.6063618
905	531.5913773
906	531.5396614
907	531.4939061
908	531.4580563
909	531.4310172
910	531.405786
911	531.3571396
912	531.3072997
913	531.2862701
914	531.2440584
915	531.1949322
916	531.1883865
917	531.125003
918	531.0766263
919	531.0356241
920	531.0157893
921	530.9680311
922	530.9438407
923	530.9162538
924	530.8881686
925	530.8331188
926	530.8015657
927	530.7818983
928	530.7629774
929	530.6757331
930	530.6136779
931	530.5922143
932	530.5673001
933	530.5266339
934	530.4767742
935	530.4295871
936	530.398481
937	530.3516899
938	530.3258138
939	530.2842408
940	530.2214695
941	530.2046515
942	530.1921438
943	530.1574815
944	530.1351332
945	530.1008509
946	530.0801545
947	530.0112889
948	530.0014746
949	529.9515615
950	529.9114068
951	529.8458233
952	529.8163061
953	529.7681019
954	529.7316495
955	529.7032039
956	529.6984123
957	529.659091
958	529.6256618
959	529.6013821
960	529.5058047
961	529.4949845
962	529.4867711
963	529.456891
964	529.4107642
965	529.3550359
966	529.3222687
967	529.274685
968	529.2420935
969	529.1976878
970	529.1659692
971	529.1247724
972	529.073332
973	529.0658146
974	529.0387319
975	529.0267455
976	529.0159857
977	528.9792971
978	528.9623795
979	528.9344076
980	528.9261685
981	528.893061
982	528.8569332
983	528.8507927
984	528.8200049
985	528.7598113
986	528.7297716
987	528.6679243
988	528.6543114
989	528.6282212
990	528.5932696
991	528.5717721
992	528.529655
993	528.5154623
994	528.4860631
995	528.4620252
996	528.4408977
997	528.4121366
998	528.3699742
999	528.3400111
